,Loop/Segment,Segment Timing
0,L1S1,2.20
1,L1S2,4.80
2,L1S3,2.60
3,L1S4,12.60
4,L1S5,4.00
5,L1S6,7.20
6,L1S7,5.40
7,L1S8,2.80
8,L1S9,5.20
9,L1S10,25.00
10,L2S1,2.20
11,L2S2,4.80
12,L2S3,2.80
13,L2S4,12.40
14,L2S5,4.20
15,L2S6,7.20
16,L2S7,5.60
17,L2S8,2.80
18,L2S9,5.20
19,L2S10,25.20
20,L3S1,2.00
21,L3S2,5.00
22,L3S3,2.60
23,L3S4,12.80
24,L3S5,4.20
25,L3S6,7.20
26,L3S7,5.60
27,L3S8,2.60
28,L3S9,5.40
29,L3S10,25.20
30,L4S1,2.20
31,L4S2,5.00
32,L4S3,2.60
33,L4S4,12.80
34,L4S5,4.20
35,L4S6,7.40
36,L4S7,5.40
37,L4S8,2.80
38,L4S9,5.40
39,L4S10,25.20
40,L5S1,2.00
41,L5S2,5.20
42,L5S3,2.60
43,L5S4,12.80
44,L5S5,4.40
45,L5S6,7.20
46,L5S7,5.60
47,L5S8,2.60
48,L5S9,5.60
49,L5S10,25.00
50,L6S1,2.20
51,L6S2,5.00
52,L6S3,2.60
53,L6S4,13.00
54,L6S5,4.20
55,L6S6,7.20
56,L6S7,5.60
57,L6S8,2.80
58,L6S9,5.40
59,L6S10,25.60
60,L7S1,2.00
61,L7S2,5.20
62,L7S3,2.60
63,L7S4,12.80
64,L7S5,4.20
65,L7S6,7.40
66,L7S7,5.40
67,L7S8,2.80
68,L7S9,5.40
69,L7S10,25.60
70,L8S1,1.80
71,L8S2,5.20
72,L8S3,2.60
73,L8S4,13.00
74,L8S5,4.20
75,L8S6,7.20
76,L8S7,5.60
77,L8S8,2.60
78,L8S9,5.40
79,L8S10,25.40
80,L9S1,2.00
81,L9S2,5.20
82,L9S3,2.60
83,L9S4,13.00
84,L9S5,4.00
85,L9S6,7.40
86,L9S7,5.60
87,L9S8,2.60
88,L9S9,5.40
89,L9S10,25.60
